region_id,B457,B458,B459,B460,B461,B462,B463,B464,B465,B466,B467,B468,B469,B470,B471,B472,B473,B474,B475,B476,B477,B478,B479,B480,B481,B482,B483,B484,B485,B486,B487,B488,B489,B490,B491,B492,B493,B494,B495,B496,B497,B498,B499,B500,B501,B502,B503,B504,B505,B506,B507,B508,B509,B510,B511,B512,B513,B514,B515,B516,B517,B518,B519,B520,B521,B522,B523,B524,B525,B526,B527,B528,B529,B530,B531,B532,B533,B534,B535,B536,B537,B538,B539,B540,B541,B542,B543,B544,B545,B546,B547,B548,B549,B550,B551,B552,B553,B554,B555,B556,B557,B558,B559,B560,B561,B562
2010101,0,0,5,5,0,0,0,0,0,0,6,4,10,6,9,15,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,5,0,3,3,0,0,0,0,0,0,0,0,0,5,3,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,91,92,183
2010102,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,0,5,5,0,0,0,3,0,3,6,5,11,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,71,148
2010103,6,4,0,4,0,7,7,3,0,3,4,0,4,17,7,24,0,0,0,3,6,9,3,3,6,0,3,3,5,0,5,11,12,23,3,3,6,3,3,6,3,0,3,0,3,3,3,0,3,12,9,21,0,0,0,3,0,3,0,3,3,3,0,3,0,7,7,6,10,16,0,0,0,0,0,0,4,0,4,3,3,6,0,0,0,7,3,10,0,10,10,5,5,10,0,0,0,0,0,0,0,0,0,188,197,385
2010104,3,3,0,3,3,0,3,0,0,0,0,0,0,6,3,9,3,0,3,0,0,0,0,3,3,3,0,3,3,0,3,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,4,4,0,0,0,0,0,0,0,0,0,3,0,3,3,4,7,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,85,60,145
2010106,9,6,0,6,6,4,10,5,0,5,3,5,8,23,15,38,3,4,7,13,0,13,3,7,10,3,0,3,4,0,4,26,11,37,3,0,3,0,0,0,5,7,12,0,6,6,3,5,8,11,18,29,3,3,6,0,4,4,3,6,9,6,5,11,4,0,4,16,18,34,5,3,8,0,0,0,3,0,3,0,12,12,4,8,12,12,23,35,13,13,26,9,15,24,0,0,0,0,0,0,0,0,0,400,395,795
2010108,9,3,3,6,4,0,4,4,3,7,0,3,3,17,12,29,3,3,6,0,0,0,3,5,8,3,0,3,3,3,6,12,11,23,0,3,3,4,3,7,5,3,8,0,0,0,0,3,3,9,12,21,0,3,3,0,0,0,0,3,3,0,0,0,3,0,3,3,6,9,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,195,196,391
2010109,0,4,11,15,10,0,10,6,4,10,11,0,11,31,15,46,3,3,6,3,3,6,0,3,3,3,4,7,3,0,3,12,13,25,7,0,7,0,4,4,0,0,0,0,0,0,0,3,3,7,7,14,0,3,3,3,0,3,0,3,3,3,0,3,3,0,3,9,6,15,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,8,0,8,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,278,278,556
2010110,3,9,7,16,4,11,15,10,0,10,4,10,14,27,31,58,6,0,6,4,5,9,3,4,7,5,4,9,4,0,4,22,13,35,7,0,7,0,5,5,3,0,3,8,0,8,0,0,0,18,5,23,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,0,0,0,3,0,3,0,3,3,0,0,0,0,3,3,3,6,9,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,315,287,602
2010111,12,6,8,14,4,0,4,4,9,13,3,5,8,22,29,51,6,3,9,3,8,11,6,0,6,6,3,9,3,5,8,24,19,43,3,6,9,5,0,5,3,5,8,3,6,9,6,0,6,20,17,37,6,3,9,9,5,14,3,5,8,3,3,6,6,4,10,27,20,47,3,5,8,3,5,8,0,5,5,0,7,7,7,0,7,13,22,35,8,8,16,4,5,9,0,3,3,0,0,0,0,0,0,394,402,796
2010112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
