region_id,B6863,B6864,B6865,B6866,B6867,B6868,B6869,B6870,B6871,B6872,B6873,B6874,B6875,B6876,B6877,B6878,B6879,B6880,B6881,B6882,B6883,B6884,B6885,B6886,B6887,B6888,B6889,B6890,B6891,B6892,B6893,B6894,B6895,B6896,B6897,B6898,B6899,B6900,B6901,B6902,B6903,B6904,B6905,B6906,B6907,B6908,B6909,B6910,B6911,B6912,B6913,B6914,B6915,B6916,B6917,B6918,B6919,B6920,B6921,B6922,B6923,B6924,B6925,B6926,B6927,B6928,B6929,B6930,B6931,B6932,B6933,B6934,B6935,B6936,B6937,B6938,B6939,B6940,B6941,B6942,B6943,B6944,B6945,B6946,B6947,B6948,B6949,B6950,B6951,B6952,B6953,B6954,B6955,B6956,B6957,B6958,B6959,B6960,B6961,B6962,B6963,B6964,B6965,B6966,B6967,B6968,B6969,B6970,B6971,B6972,B6973,B6974,B6975,B6976,B6977,B6978,B6979,B6980,B6981,B6982,B6983,B6984,B6985,B6986,B6987,B6988,B6989,B6990,B6991,B6992,B6993,B6994,B6995,B6996,B6997,B6998,B6999,B7000,B7001,B7002,B7003,B7004,B7005,B7006,B7007,B7008,B7009,B7010,B7011,B7012,B7013,B7014,B7015,B7016,B7017,B7018,B7019,B7020,B7021,B7022,B7023,B7024,B7025,B7026,B7027,B7028,B7029,B7030,B7031,B7032,B7033,B7034,B7035,B7036,B7037,B7038,B7039,B7040,B7041,B7042,B7043,B7044,B7045,B7046,B7047,B7048,B7049,B7050,B7051,B7052,B7053,B7054,B7055,B7056,B7057,B7058,B7059,B7060,B7061,B7062
2010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,3,0,13,3,3,0,0,0,0,9,4,0,19,5,0,0,0,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,13,14,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,8,0,4,0,0,3,0,0,5,0,12,3,3,3,0,3,0,0,0,0,12,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,0,9,0,0,8,0,38
2010102,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,6,11,0,3,0,0,0,0,0,0,14,7,0,3,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,6,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,4,0,10,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,0,0,4,0,26
2010103,0,0,6,0,0,0,0,0,0,6,0,0,0,0,3,4,0,0,0,7,0,0,0,0,3,4,3,4,0,14,10,0,5,0,0,0,0,9,0,24,0,0,6,0,0,0,7,6,0,19,7,0,5,0,0,0,0,3,4,19,0,0,3,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,17,0,25,0,6,8,14,26,4,100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,7,0,3,0,0,3,0,0,3,4,13,3,0,3,5,0,0,0,3,0,14,0,7,3,5,7,0,0,5,0,27,4,4,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,9,14,10,4,0,11,4,73
2010104,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,8,9,3,3,0,0,0,0,3,0,18,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,3,0,0,0,0,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,8,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,10,5,0,3,0,0,5,3,0,26
2010106,0,0,5,4,0,5,0,4,0,18,0,0,0,0,0,0,5,0,0,5,8,0,6,0,0,0,5,14,0,33,3,0,17,5,0,0,9,13,0,47,5,0,5,0,0,0,6,11,8,35,3,0,3,0,0,3,3,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,36,9,0,8,28,50,8,158,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,6,0,3,0,19,0,3,0,3,3,5,0,6,3,23,6,6,0,5,14,0,0,4,0,35,0,3,0,9,6,4,3,13,0,38,3,0,3,0,3,3,0,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,3,21,29,18,3,30,3,131
2010108,3,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,15,8,3,5,0,0,6,3,8,4,37,10,4,5,0,0,0,0,6,0,25,11,0,6,3,0,0,3,3,0,26,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,27,3,0,6,6,20,4,123,0,0,0,0,0,4,0,0,0,4,0,6,0,0,0,0,0,0,0,6,0,3,0,4,6,0,0,0,0,13,0,8,0,4,8,4,0,0,0,24,9,0,0,0,12,5,0,7,0,33,9,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,8,26,13,0,7,0,94
2010109,0,0,0,0,0,6,4,0,0,10,0,0,0,0,0,4,0,7,0,11,5,0,8,0,4,0,6,0,0,23,7,0,8,3,0,3,6,8,0,35,15,7,3,0,7,0,4,8,5,49,14,4,4,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,23,3,11,13,20,23,5,150,0,0,0,4,0,7,0,0,0,11,0,0,0,0,6,0,0,0,0,6,0,0,0,3,5,3,0,4,0,15,7,7,3,7,10,0,0,0,0,34,7,10,5,11,0,0,0,5,0,38,7,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,8,25,24,13,0,9,0,117
2010110,0,0,0,9,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,7,4,3,8,0,0,0,4,3,0,22,14,0,9,0,0,0,12,11,0,46,15,0,5,3,0,0,0,8,0,31,19,0,3,0,0,0,0,13,4,39,5,0,0,0,0,0,5,0,0,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,60,3,32,12,0,0,21,35,4,167,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,4,0,0,0,8,0,3,0,6,5,3,0,0,0,17,9,9,0,7,8,0,0,5,0,38,9,7,0,0,8,7,0,3,0,34,11,5,3,0,5,3,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,29,24,7,13,26,21,0,13,3,136
2010111,0,0,3,0,0,6,0,3,4,16,0,0,3,3,0,0,3,0,0,9,7,0,0,0,0,0,8,12,0,27,10,0,8,4,0,0,6,11,0,39,6,4,8,0,7,0,8,11,0,44,3,4,4,0,0,0,5,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,26,7,7,6,30,41,4,155,0,0,0,4,0,12,0,0,0,16,0,0,0,0,0,4,0,0,0,4,0,9,0,4,0,0,0,0,0,13,0,0,5,10,7,7,0,7,0,36,5,4,0,3,5,8,0,13,0,38,3,3,0,3,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,19,5,24,12,31,0,28,0,127
2010112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
