region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2100101,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,70,65,135,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,79,77,156,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,15,23,3,0,3,96,95,191
2100102,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,33,34,67,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,42,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,9,0,0,0,45,43,88
2100103,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,138,104,242,4,9,13,3,0,3,0,0,0,0,0,0,0,0,0,8,3,11,156,119,275,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,3,0,3,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18,15,26,41,4,0,4,191,157,348
2100104,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,174,138,312,11,6,17,0,0,0,0,0,0,4,0,4,0,0,0,4,3,7,193,151,344,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,15,38,53,3,3,6,220,201,421
2100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,92,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,54,50,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,11,15,3,3,6,64,67,131
2100106,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,104,112,216,8,9,17,3,0,3,0,0,0,0,3,3,0,0,0,3,3,6,124,130,254,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,18,27,45,3,0,3,148,161,309
2100107,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,57,47,104,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,70,62,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,10,20,0,0,0,80,76,156
2100108,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,71,59,130,7,5,12,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,85,70,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,12,17,4,3,7,94,89,183
2100109,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,66,80,146,8,7,15,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,86,90,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,6,18,24,0,0,0,98,115,213
2100110,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,115,95,210,7,6,13,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,131,101,232,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,10,24,34,0,0,0,147,136,283
2100111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,65,144,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,70,155,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,11,20,0,3,3,100,87,187
2100112,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,101,83,184,5,9,14,3,0,3,0,0,0,3,4,7,0,0,0,0,0,0,112,100,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,15,25,40,6,0,6,136,130,266
2100113,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,71,65,136,11,5,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,88,70,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,15,19,4,0,4,96,88,184
2100114,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,79,67,146,3,5,8,3,0,3,0,0,0,6,0,6,3,0,3,0,3,3,97,75,172,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,6,16,22,0,8,8,113,106,219
2100115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,88,190,10,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,96,208,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,3,0,0,0,0,0,0,3,0,3,8,3,11,8,17,25,0,0,0,134,119,253
2100116,3,4,7,8,0,8,0,0,0,0,0,0,0,0,0,264,210,474,19,12,31,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,302,226,528,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,28,43,71,4,3,7,341,283,624
2100117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,14,16,30
2100201,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,98,87,185,5,3,8,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,110,96,206,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,6,22,28,0,6,6,122,136,258
2100202,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,63,49,112,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,71,62,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,7,14,21,0,0,0,85,79,164
2100203,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,71,78,149,0,16,16,0,0,0,3,0,3,3,3,6,0,0,0,3,0,3,85,100,185,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,19,29,4,0,4,102,125,227
2100204,3,3,6,0,0,0,0,0,0,3,0,3,3,0,3,43,47,90,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,58,50,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,11,15,0,0,0,65,64,129
2100205,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,79,90,169,3,8,11,5,0,5,0,0,0,0,0,0,3,0,3,5,4,9,98,102,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,13,20,33,3,7,10,121,129,250
2100206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,90,4,3,7,0,0,0,0,0,0,0,0,0,0,3,3,11,7,18,69,49,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,16,19,4,0,4,81,65,146
2100207,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0,54,61,115,7,3,10,3,0,3,0,0,0,4,0,4,0,0,0,9,13,22,80,81,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,10,13,3,0,3,89,94,183
2100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,77,161,8,7,15,0,0,0,0,0,0,5,0,5,0,0,0,4,14,18,101,98,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,23,14,20,34,4,0,4,127,133,260
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,87,87,174,6,6,12,0,0,0,0,0,0,3,3,6,3,3,6,3,5,8,105,107,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,3,3,3,6,3,3,6,0,0,0,0,0,0,3,3,6,0,3,3,8,17,25,3,0,3,122,133,255
2100212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,68,3,3,6,0,0,0,3,0,3,0,0,0,0,3,3,9,17,26,54,52,106,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,5,13,0,0,0,68,63,131
2100213,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,70,58,128,8,3,11,0,0,0,0,0,0,4,0,4,0,4,4,9,19,28,94,84,178,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,11,21,0,6,6,104,107,211
2100214,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,74,61,135,3,12,15,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,85,80,165,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,0,3,3,0,0,0,0,0,0,0,3,3,3,3,6,8,20,28,0,0,0,102,106,208
2100215,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,72,78,150,9,10,19,0,0,0,0,0,0,6,0,6,0,0,0,6,13,19,98,105,203,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,8,21,29,3,3,6,119,137,256
2100216,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,65,53,118,5,6,11,0,0,0,0,0,0,4,3,7,3,3,6,10,13,23,87,85,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,4,0,4,7,21,28,0,0,0,101,106,207
2100217,6,0,6,0,4,4,0,0,0,0,0,0,0,0,0,30,32,62,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,24,31,55,63,73,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,14,18,0,0,0,71,90,161
2100218,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,51,47,98,5,6,11,3,0,3,0,0,0,0,0,0,0,0,0,12,18,30,75,71,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,24,37,3,3,6,91,102,193
2100219,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,23,14,37,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,17,7,24,50,24,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23,0,0,0,57,40,97
2100220,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,33,74,4,4,8,0,0,0,0,0,0,0,3,3,0,0,0,8,15,23,57,55,112,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,11,21,0,0,0,73,72,145
2100221,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,45,28,73,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,61,38,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,0,0,0,65,45,110
2100222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,53,126,9,5,14,3,0,3,0,3,3,3,3,6,3,0,3,12,15,27,103,79,182,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19,8,25,33,0,0,0,121,116,237
2100223,3,3,6,0,0,0,0,0,0,0,0,0,4,0,4,67,68,135,6,7,13,0,0,0,3,0,3,3,0,3,0,0,0,7,13,20,93,91,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,13,24,3,5,8,114,109,223
2100224,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,70,69,139,6,4,10,3,0,3,0,0,0,3,0,3,0,0,0,5,0,5,87,78,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,6,5,11,8,15,23,0,0,0,101,102,203
2100225,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,36,20,56,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,40,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,4,5,9,8,0,8,0,0,0,52,40,92
2100226,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,25,25,50,3,4,7,5,0,5,0,0,0,0,3,3,0,0,0,18,13,31,55,45,100,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7,11,3,0,3,68,52,120
2100227,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,42,53,95,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,18,26,59,74,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,6,12,18,0,0,0,68,94,162
2100228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33,70,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,46,36,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,6,15,0,6,6,58,48,106
2100229,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,54,51,105,0,10,10,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,65,64,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,14,20,4,0,4,79,78,157
2100230,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,60,50,110,0,4,4,0,0,0,5,0,5,0,0,0,4,0,4,0,6,6,69,64,133,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,3,3,0,7,7,10,13,23,5,0,5,87,87,174
2100231,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,62,61,123,3,6,9,0,0,0,0,0,0,3,0,3,0,0,0,7,12,19,78,82,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,8,16,24,3,0,3,95,108,203
