Code,2005-2006,Region_Name,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
205054601,1,Melbourne (C) - Inner,3,643,283,138,1674
205054605,0,Melbourne (C) - S'bank-D'lands,611,520,867,154,2258
205054608,355,Melbourne (C) - Remainder,723,868,1128,1708,2361
205055901,234,Port Phillip (C) - St Kilda,295,264,231,391,995
205055902,385,Port Phillip (C) - West,435,451,162,327,978
205056351,278,Stonnington (C) - Prahran,289,245,556,839,1696
205057351,113,Yarra (C) - North,159,247,390,584,963
205057352,203,Yarra (C) - Richmond,215,133,198,431,601
205101181,97,Brimbank (C) - Keilor,289,160,118,308,176
205101182,648,Brimbank (C) - Sunshine,558,1043,1277,1185,748
205103111,165,Hobsons Bay (C) - Altona,219,229,283,253,447
205103112,169,Hobsons Bay (C) - Williamstown,152,146,167,233,163
205104330,598,Maribyrnong (C),542,783,715,1062,800
205105063,250,Moonee Valley (C) - Essendon,447,427,561,451,921
205105065,161,Moonee Valley (C) - West,199,199,227,335,309
205204651,1216,Melton (S) - East,1005,1539,1295,1106,671
205204654,612,Melton (S) Bal,592,780,880,1300,1285
205207261,1003,Wyndham (C) - North,1229,1734,1849,2873,2220
205207264,962,Wyndham (C) - South,1024,865,1203,2102,1814
205207267,405,Wyndham (C) - West,376,488,605,713,777
205255251,144,Moreland (C) - Brunswick,341,358,479,650,620
205255252,294,Moreland (C) - Coburg,261,465,188,280,276
205255253,268,Moreland (C) - North,273,487,300,403,454
205300661,316,Banyule (C) - Heidelberg,291,397,189,321,335
205300662,238,Banyule (C) - North,233,268,146,211,171
205301891,188,Darebin (C) - Northcote,152,261,346,265,288
205301892,487,Darebin (C) - Preston,422,628,613,806,701
205353271,80,Hume (C) - Broadmeadows,124,194,160,340,234
205353274,773,Hume (C) - Craigieburn,762,960,883,1298,1260
205353275,432,Hume (C) - Sunbury,320,256,252,307,240
205405713,53,Nillumbik (S) - South,77,71,51,59,74
205405715,166,Nillumbik (S) - South-West,141,157,127,116,156
205405718,28,Nillumbik (S) Bal,21,17,19,48,36
205407071,1058,Whittlesea (C) - North,1416,1897,2374,3187,3262
205407075,65,Whittlesea (C) - South-East,113,90,301,200,100
205407076,224,Whittlesea (C) - South-West,271,106,144,439,442
205451111,165,Boroondara (C) - Camberwell N.,193,220,144,298,219
205451112,222,Boroondara (C) - Camberwell S.,171,227,210,238,259
205451113,414,Boroondara (C) - Hawthorn,134,157,315,554,200
205451114,133,Boroondara (C) - Kew,204,153,64,112,153
205504211,44,Manningham (C) - East,40,52,28,31,34
205504214,392,Manningham (C) - West,354,336,301,677,686
205504971,205,Monash (C) - South-West,255,395,228,319,971
205504974,162,Monash (C) - Waverley East,206,247,212,187,246
205504975,391,Monash (C) - Waverley West,448,435,327,551,757
205506981,351,Whitehorse (C) - Box Hill,267,470,177,414,837
205506984,135,Whitehorse (C) - Nunawading E.,146,183,123,148,395
205506985,127,Whitehorse (C) - Nunawading W.,159,145,145,180,205
205553672,396,Knox (C) - North-East,278,339,307,348,234
205553673,95,Knox (C) - North-West,224,90,77,100,145
205553674,145,Knox (C) - South,100,139,129,69,138
205554411,207,Maroondah (C) - Croydon,204,245,238,406,289
205554412,150,Maroondah (C) - Ringwood,160,205,101,279,196
205607451,61,Yarra Ranges (S) - Central,53,67,70,70,57
205607452,55,Yarra Ranges (S) - Dandenongs,38,40,27,236,32
205607453,316,Yarra Ranges (S) - Lilydale,335,514,342,390,442
205607454,105,Yarra Ranges (S) - North,89,71,90,143,100
205607456,38,Yarra Ranges (S) - Seville,48,47,38,49,35
205650911,219,Bayside (C) - Brighton,255,249,187,249,282
205650912,275,Bayside (C) - South,279,292,426,277,352
205652311,484,Glen Eira (C) - Caulfield,339,413,344,476,503
205652314,217,Glen Eira (C) - South,263,315,265,306,454
205653431,384,Kingston (C) - North,438,599,504,523,823
205653434,280,Kingston (C) - South,402,438,313,262,243
205656352,186,Stonnington (C) - Malvern,229,151,196,340,450
205752671,169,Gr. Dandenong (C) - Dandenong,179,250,235,564,468
205752674,446,Gr. Dandenong (C) Bal,397,394,294,293,362
205801452,124,Cardinia (S) - North,92,91,70,112,159
205801453,898,Cardinia (S) - Pakenham,901,1168,1282,1578,1679
205801454,51,Cardinia (S) - South,35,107,78,131,68
205801612,889,Casey (C) - Berwick,814,668,353,365,273
205801613,1127,Casey (C) - Cranbourne,1254,1281,1646,2048,1707
205801616,105,Casey (C) - Hallam,152,165,237,177,152
205801618,285,Casey (C) - South,175,304,337,223,128
205852171,565,Frankston (C) - East,653,604,384,612,924
205852174,394,Frankston (C) - West,365,314,204,357,314
205905341,295,Mornington P'sula (S) - East,357,362,311,338,309
205905344,582,Mornington P'sula (S) - South,557,640,470,448,754
205905345,415,Mornington P'sula (S) - West,452,439,485,423,449
220105151,193,Moorabool (S) - Bacchus Marsh,111,145,202,434,298
235204131,68,Macedon Ranges (S) - Kyneton,60,70,52,95,95
235204134,108,Macedon Ranges (S) - Romsey,67,82,83,124,104
235204135,149,Macedon Ranges (S) Bal,135,177,165,271,220
240204854,228,Mitchell (S) - South,214,216,262,562,619
240205621,47,Murrindindi (S) - East,51,53,59,180,116
240205622,57,Murrindindi (S) - West,56,58,48,277,121
255107458,0,Yarra Ranges (S) - Pt B,2,2,4,2,2
