BP_2005_2006,BP_2006_2007,BP_2007_2008,BP_2008_2009,BP_2009_2010,BP_2010_2011,BP_2011_2012,BP_2012_2013,BP_2013_2014,BP_2014_2015,BP_2015_2016,SA1_MAINCO,Average,Disinvested
144.0,341.0,358.0,479.0,650.0,620.0,306.9999231921288,404.0000379034896,273.9999808912668,307.0002144346744,470.9999039421539,20601110501,395.9090963967012,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110502,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110503,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9997969043957,404.00007713634704,273.9999412588612,307.0005186257655,470.9997423851671,20601110504,395.9090978464124,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110505,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110506,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110507,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9994461215856,404.00018937958976,273.9998323366888,307.00137041014864,470.99929414899407,20601110508,395.9091029451824,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110509,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9965020850286,404.0011222162648,273.99891490797563,307.00849996656507,470.9955307686723,20601110510,395.90914272222784,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9998992687415,403.99983713458096,273.9998996196914,307.00005311550467,470.9998493554008,20601110512,395.9090489539927,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110514,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110515,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110516,395.90909090909093,False
143.9999914,340.99997967481613,357.9999786615372,478.9999714493752,649.9999612569809,619.9999630451202,306.9992755256426,403.9988351724933,273.99928030538194,307.00034889161725,470.9989157022637,20601110517,395.9087728259299,False
144.0,341.0,358.0,479.0,650.0,620.0,306.99979327819483,403.99967083919137,273.9997957522461,307.00008325020667,470.9996901930414,20601110518,395.9090030284437,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110519,395.90909090909093,False
144.0000162,341.000001693593,358.00001789039254,478.99998730964353,649.9999848786572,619.9999863293441,306.9999062927555,403.9998578527454,273.9999179956304,307.0000147903899,470.99986476606085,20601110520,395.9090505453829,False
143.9999789,340.9998300347771,357.9999099759244,478.9999452653658,649.9999862034883,620.0004350819842,306.99992161554235,403.99994629961816,273.99994994408326,307.00002580515104,470.99989013065306,20601110521,395.90907447787157,False
144.0000197,341.00003150993075,358.00004706100526,479.0000587487032,650.0001024150799,620.0001914895545,306.9999637331132,403.9999526644784,273.9999691514301,306.99996488809603,470.99994599734913,20601110522,395.9091133962491,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9999487755265,404.000054152106,273.99999752804223,307.00020351702966,470.9999404624763,20601110523,395.90910403956184,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9999307256803,404.000030792653,273.999981558376,307.0001862916652,470.9999128320269,20601110524,395.909094745491,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110525,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110526,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110527,395.90909090909093,False
144.0000393,340.99999679486035,358.00003890890866,478.9999559605295,649.9999457468635,619.9999502259113,306.9999676316479,403.999957014285,273.9999759057412,306.9999774248896,470.9999540908137,20601110528,395.90906900040466,False
144.0010419,340.9994383982571,358.0007395945536,478.9979679738917,649.9974157431461,619.9975971172153,306.99998587124213,403.9999810223253,273.99999211779686,306.9999955277788,470.9999820216824,20601110529,395.90855793526265,False
144.0011868,340.9993637682137,358.0008446021284,478.997691653185,649.9970646686779,619.9972708127789,306.9999436619209,403.9999243058349,273.9999688297489,306.9999826978519,470.9999285151407,20601110530,395.90847002868014,False
144.0006383,340.9996645998981,358.00045843618136,478.998770780483,649.9984375698841,619.9985475517169,306.99991838422574,404.0000145107272,273.9999771242296,307.0001880491533,470.9998989866717,20601110531,395.9087740266519,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110532,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,306.99588019336807,404.001317103568,273.99872034289,307.0100014652562,470.9947354616888,20601110533,395.90915041516104,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110534,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,306.99931361357085,404.0002395283991,273.99979394815,307.0017084098299,470.99912604244855,20601110535,395.90910741294533,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110536,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110537,395.90909090909093,False
144.0001272,341.0002363805773,358.0003082914923,479.0003940732177,650.0006326026501,620.0010072608458,306.99994190890123,403.9998367904244,273.99987034433514,306.9999698449628,470.999817812649,20601110538,395.90928568273233,False
144.0000416,341.0000790076101,358.0001009788486,479.000129585056,650.000205191453,620.0003168405665,306.99991919990697,403.9998154844925,273.99986263897034,306.9999863851332,470.99980278799165,20601110539,395.9091145181844,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110540,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110541,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,306.99980817269466,403.9996926993856,273.99980982683513,307.00008667428153,470.9997127536248,20601110542,395.90901001152923,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9997465512756,403.9995917795536,273.99974797471475,307.00012570753984,470.99962076387,20601110543,395.90898479790485,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9997701877619,403.99963148743336,273.999772044509,307.0001056718811,470.9996559206402,20601110545,395.90899411929325,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110546,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110547,395.90909090909093,False
144.0001207,340.99992927285655,358.00008221487394,478.9997543111026,649.9996869889992,619.9997087459319,306.9999682801106,403.99995780779847,273.99997721973125,306.99997957505525,470.9999556607759,20601110548,395.90901097974876,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9997313926192,404.00006095308936,273.99990770187185,307.0005998623816,470.99965285163466,20601110549,395.9090866146906,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110550,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110551,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110552,395.90909090909093,False
