region_id,B2254,B2260,B2263,Total
2010101,0,0,0,0
2010102,0,0,0,0
2010103,0,4,0,4
2010104,0,0,0,0
2010106,0,3,0,3
2010108,0,0,0,0
2010109,0,6,0,6
2010110,0,3,0,3
2010111,0,3,0,3
2010112,0,0,0,0
2010201,0,0,0,0
2010202,0,0,0,0
2010203,0,3,0,3
2010204,3,0,0,3
2010205,0,0,0,0
2010206,0,11,0,11
2010207,0,5,0,5
2010208,0,4,0,4
2010209,0,0,0,0
2010210,0,0,0,0
2010211,5,6,0,11
2010212,0,6,0,6
2010213,0,0,0,0
2010301,3,0,0,3
2010302,0,9,0,9
2010303,0,3,0,3
2010304,0,0,0,0
2010305,0,0,0,0
2010306,0,4,0,4
2010307,0,0,0,0
2010308,3,0,0,3
2010309,0,0,0,0
2010310,0,0,0,0
2010311,0,0,0,0
2010312,0,4,0,4
2010401,0,4,0,4
2010402,0,8,0,8
2010403,0,14,0,14
2010404,0,6,0,6
2010405,3,3,0,6
2010406,4,0,0,4
2010407,7,3,0,10
2010408,0,0,0,0
2010409,4,3,0,7
2010410,0,7,0,7
2010501,7,6,0,13
2010502,0,0,0,0
2010503,4,0,0,4
2010504,0,0,0,0
2010505,0,0,0,0
2010506,5,0,0,5
2010507,0,0,0,0
2010508,0,4,0,4
2010509,0,0,0,0
2010510,0,0,0,0
2010601,4,7,0,11
2010602,0,0,0,0
2010603,0,4,0,4
2010604,0,0,0,0
2010605,3,3,0,6
2010606,0,4,0,4
2010607,0,4,0,4
2010608,0,0,0,0
2010609,0,3,0,3
2010610,0,4,0,4
2010701,0,4,0,4
2010702,0,3,0,3
2010703,0,0,0,0
2010704,0,0,0,0
2010705,0,0,0,0
2010706,0,0,0,0
2010707,0,0,0,0
2010708,3,3,0,6
2010709,0,0,0,0
2010801,0,0,0,0
2010803,0,0,0,0
2010804,0,4,0,4
2010805,6,12,0,18
2010806,0,0,5,5
2010807,0,0,0,0
2010808,0,0,0,0
2010809,0,3,0,3
2010901,3,0,0,3
2010902,0,0,0,0
2010903,3,0,0,3
2010904,0,0,0,0
2010905,0,4,0,4
2010906,0,0,0,0
2010907,0,0,0,0
2010908,0,0,0,0
2010909,0,0,0,0
2010910,0,5,0,5
2010911,3,3,0,6
2010912,0,0,0,0
2011001,4,0,0,4
2011002,0,4,0,4
2011003,0,3,0,3
2011004,0,4,0,4
2011005,0,5,0,5
2011006,0,0,0,0
2011007,3,0,0,3
2011008,0,0,0,0
2011009,0,0,0,0
