SA2_MAINCODE_2011,2006_1,2006_2,2006_3,2006_4,2006_5,2006_6,2006_7,2006_8,2006_9,2006_10,2006_11,2006_12,mean_2006
206011105,415000.0,420000.0,410000.0,415000.0,415000.0,415000.0,413750.0,415000.0,410000.0,415000.0,412500.0,410000.0,413854.1666666667
206011106,400000.0,412500.0,412500.0,417500.0,408750.0,400000.0,400000.0,400000.0,410000.0,410000.0,405000.0,415000.0,407604.1666666667
206011107,427000.0,417500.0,432500.0,429000.0,430000.0,429500.0,427000.0,437500.0,429000.0,430000.0,430000.0,420000.0,428250.0
206011108,370000.0,370000.0,370000.0,370000.0,372500.0,370000.0,370000.0,370000.0,370000.0,370000.0,375000.0,370000.0,370625.0
206011109,352500.0,375000.0,355000.0,355000.0,355000.0,352500.0,355000.0,355000.0,360000.0,360000.0,355000.0,365000.0,357916.6666666667
206021110,475000.0,480000.0,472500.0,470000.0,485000.0,465000.0,477500.0,465000.0,450000.0,477500.0,472500.0,480000.0,472500.0
206021111,435250.0,425000.0,425000.0,425000.0,430250.0,430000.0,430500.0,429500.0,427500.0,430000.0,435000.0,425000.0,429000.0
206021112,398750.0,392500.0,405000.0,402500.0,400000.0,395000.0,398750.0,395000.0,405000.0,400000.0,410000.0,395000.0,399791.6666666667
206031113,452500.0,493500.0,480000.0,493500.0,455000.0,450000.0,450000.0,450000.0,495000.0,465000.0,480000.0,495000.0,471625.0
206031114,520000.0,525000.0,525000.0,520000.0,520000.0,525000.0,522500.0,520000.0,525000.0,525000.0,520000.0,525000.0,522708.3333333333
206031115,410000.0,410000.0,410000.0,410000.0,410000.0,385000.0,415000.0,380000.0,410000.0,404500.0,410000.0,410000.0,405375.0
206031116,475000.0,480000.0,480000.0,487000.0,480000.0,475000.0,472625.0,479000.0,489000.0,480000.0,482500.0,480000.0,480010.4166666667
206041117,575000.0,532500.0,525000.0,525000.0,565000.0,570000.0,577500.0,565000.0,512500.0,560000.0,549500.0,522500.0,548291.6666666666
206041118,606562.5,1010000.0,570000.0,570000.0,545000.0,540000.0,545000.0,532500.0,606562.5,540000.0,606562.5,606562.5,606562.5
206041119,1200000.0,575000.0,560000.0,572500.0,1195000.0,1237500.0,1212500.0,1200000.0,570000.0,869500.0,572500.0,562500.0,860583.3333333334
206041120,405301.5602189781,409645.2609489051,404385.06751824816,405938.7737226277,406336.51459854015,403047.8996350365,405167.64598540147,402668.0018248175,406496.8613138686,405704.40510948905,404983.5510948905,406385.147810219,405505.05748175184
206041121,400000.0,395000.0,395000.0,390000.0,402500.0,400000.0,402500.0,400000.0,390000.0,400000.0,390000.0,389500.0,396208.3333333333
206041122,370000.0,289000.0,317500.0,287000.0,370000.0,400000.0,370000.0,475000.0,292000.0,340000.0,317500.0,289000.0,343083.3333333333
206041123,550000.0,542500.0,540000.0,545000.0,550000.0,527000.0,550000.0,522500.0,535000.0,550000.0,547500.0,550000.0,542458.3333333334
206041124,787500.0,825000.0,795000.0,825000.0,777000.0,795000.0,787500.0,817500.0,795000.0,777000.0,774000.0,810000.0,797125.0
