region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
2100101,42,1083,512,203,1262,1.1,956,2.6
2100102,53,1200,525,160,1583,1.0,1062,2.5
2100103,38,1842,684,250,1796,1.1,1757,3.3
2100104,33,1885,695,360,1978,1.1,1970,3.6
2100105,30,1300,439,180,1062,1.1,712,1.9
2100106,36,1326,488,240,1363,1.1,1171,2.8
2100107,38,1300,486,180,1100,1.1,845,2.1
2100108,37,1500,493,275,1331,1.1,1031,2.6
2100109,37,1050,568,200,984,1.0,811,2.3
2100110,35,1564,673,400,1881,1.0,1824,3.2
2100111,39,1647,643,275,1766,1.1,1851,3.2
2100112,43,1560,675,330,1874,1.0,1771,3.0
2100113,33,1406,564,350,1542,1.1,1513,3.3
2100114,43,1000,557,250,1480,1.1,1257,2.6
2100115,31,1733,689,210,1429,1.0,1458,2.9
2100116,28,1806,852,335,1868,1.0,1768,3.0
2100117,44,2913,824,0,1468,1.0,1291,2.9
2100201,38,1950,625,285,1583,1.0,1387,2.7
2100202,43,1430,650,330,2071,1.0,1833,2.7
2100203,41,1289,693,300,1684,1.0,1286,2.4
2100204,50,1100,549,280,1654,1.1,1166,2.3
2100205,41,1062,470,205,1062,1.1,869,2.1
2100206,17,1900,141,195,2727,1.0,2399,3.1
2100207,41,1381,603,220,1596,1.1,1343,2.3
2100208,50,2400,789,238,2071,1.0,1666,2.4
2100209,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0
2100211,39,1250,606,235,1383,1.1,1059,2.1
2100212,40,2584,603,245,1795,1.0,1661,2.3
2100213,44,1603,559,240,1523,1.1,1154,2.2
2100214,40,1300,564,185,1347,1.1,1141,2.0
2100215,34,1123,522,220,1233,1.1,833,2.2
2100216,34,1127,488,230,828,1.0,852,2.1
2100217,37,867,560,220,1474,1.0,958,2.1
2100218,32,1642,580,250,1636,1.1,1395,2.7
2100219,29,1250,389,220,900,1.0,806,1.9
2100220,36,867,769,235,2058,1.0,1573,2.3
2100221,33,1733,532,210,1388,1.1,1125,2.4
2100222,41,1954,907,240,2045,1.1,1750,2.5
2100223,45,1625,629,270,2015,1.1,1273,2.2
2100224,39,1500,570,250,1783,1.1,1100,2.2
2100225,58,2600,792,189,1750,1.0,1125,1.8
2100226,36,1250,594,210,1399,1.1,988,2.1
2100227,39,1300,669,185,1519,1.1,1320,2.4
2100228,50,1300,587,287,1718,1.0,962,2.3
2100229,46,1426,551,170,1625,1.1,794,2.2
2100230,37,1083,486,220,1208,1.1,740,2.0
2100231,36,1447,526,228,1550,1.1,927,2.3
2100232,37,1300,605,240,1375,1.1,937,2.1
2100233,38,1042,524,225,1387,1.1,1014,2.2
2100234,34,2167,464,190,1187,1.1,862,2.0
