region_id,B112
2010101,789.7
2010102,1011.1
2010103,641.3
2010104,761.8
2010106,579.1
2010108,1142.1
2010109,974.1
2010110,918.2
2010111,585.1
2010112,0
2010201,978.1
2010202,658.8
2010203,661.9
2010204,1006.1
2010205,1059.7
2010206,895
2010207,772.7
2010208,965.8
2010209,720.1
2010210,1433.2
2010211,981.7
2010212,1060.8
2010213,1154.4
2010301,583.6
2010302,629.6
2010303,601.8
2010304,819.9
2010305,1036.2
2010306,932.7
2010307,1039.8
2010308,765.5
2010309,537.3
2010310,780.4
2010311,703.2
2010312,899.5
2010401,994
2010402,807.2
2010403,1024.9
2010404,870.2
2010405,671.3
2010406,646.3
2010407,628.7
2010408,638.8
2010409,876.1
2010410,627.4
2010501,622.2
2010502,567.4
2010503,641.7
2010504,620.7
2010505,635.5
2010506,628.9
2010507,609.1
2010508,1154.8
2010509,559.1
2010510,965.8
2010601,698.8
2010602,963.5
2010603,698.6
2010604,659.3
2010605,627.1
2010606,913.7
2010607,529.5
2010608,819.9
2010609,642.2
2010610,878.2
2010701,693.5
2010702,764.6
2010703,874.6
2010704,1003.3
2010705,1087.8
2010706,917.1
2010707,965.8
2010708,824.9
2010709,0
2010801,696.6
2010803,591.7
2010804,792.2
2010805,538.2
2010806,755.5
2010807,618.5
2010808,606.4
2010809,1119.4
2010901,839.8
2010902,1099.5
2010903,921.6
2010904,754.3
2010905,924.4
2010906,899
2010907,640.7
2010908,1014.2
2010909,749.3
2010910,811.7
2010911,641.9
2010912,1033.2
2011001,603.8
2011002,543.9
2011003,794.9
2011004,890.5
2011005,787.5
2011006,638.4
2011007,749.3
2011008,774.2
2011009,634.8
2011101,553.2
2011102,839.8
2011103,568
2011104,932.7
2011105,724
2011106,480.4
2011107,1174.1
2011108,586.9
2011202,476.6
2011203,581.1
2011204,743.1
2011205,664.9
2011206,668.6
2011208,627.2
2011209,936.8
2011210,674.8
2011211,576.8
2011212,590.2
2011301,594.8
2011302,679.8
2011303,599.3
2011304,544.7
2011305,1016.6
2011306,494
2011307,611.8
2011308,1174.1
2011309,528.7
2011401,608.4
2011402,1033.2
2011404,673.5
2011405,623.3
2011406,899
2011407,660.6
2011408,687.3
2011409,839.8
2011410,866.3
2011412,588.7
2011501,674.8
2011502,949.3
2011503,616.7
2011504,604.3
2011505,589.4
2011506,628.7
2011507,574.5
2011508,587.5
2011601,580
2011602,1027.4
2011603,721.8
2011604,1245.2
2011605,1049.8
2011606,1096.4
2011607,983.7
2011608,984.3
