,SA1_MAINCO,Disinvested,SA1_7DIG16,low_income,Influx_affluent,increased_11_16,Gentrified_11_16
0,20601110501,False,2110501,False,True,True,False
1,20601110502,False,2110502,True,True,True,False
2,20601110503,False,2110503,True,False,True,False
3,20601110504,False,2110504,False,True,True,False
4,20601110505,False,2110505,False,True,True,False
5,20601110506,False,2110506,True,False,True,False
6,20601110507,False,2110507,False,True,True,False
7,20601110508,False,2110508,True,False,True,False
8,20601110509,False,2110509,False,True,True,False
9,20601110510,False,2110510,False,True,True,False
10,20601110512,False,2110512,False,True,True,False
11,20601110514,False,2110514,False,True,True,False
12,20601110515,False,2110515,True,True,True,False
13,20601110516,False,2110516,False,True,True,False
14,20601110517,False,2110517,False,True,True,False
15,20601110518,False,2110518,False,True,True,False
16,20601110519,False,2110519,False,True,True,False
17,20601110520,False,2110520,True,True,True,False
18,20601110521,False,2110521,False,True,True,False
19,20601110522,False,2110522,True,False,True,False
20,20601110523,False,2110523,False,True,True,False
21,20601110524,False,2110524,False,True,True,False
22,20601110525,False,2110525,False,True,True,False
23,20601110526,False,2110526,False,True,True,False
24,20601110527,False,2110527,False,False,True,False
25,20601110528,False,2110528,False,True,True,False
26,20601110529,False,2110529,False,True,True,False
27,20601110530,False,2110530,True,True,True,False
28,20601110531,False,2110531,True,True,True,False
29,20601110532,False,2110532,False,True,True,False
30,20601110533,False,2110533,False,False,True,False
31,20601110534,False,2110534,False,True,True,False
32,20601110535,False,2110535,False,True,True,False
33,20601110536,False,2110536,False,True,True,False
34,20601110537,False,2110537,False,True,True,False
35,20601110538,False,2110538,False,False,True,False
36,20601110539,False,2110539,True,False,True,False
37,20601110540,False,2110540,False,True,True,False
38,20601110541,False,2110541,True,True,True,False
39,20601110542,False,2110542,False,True,True,False
40,20601110543,False,2110543,True,True,True,False
41,20601110545,False,2110545,False,True,True,False
42,20601110546,False,2110546,False,False,True,False
43,20601110547,False,2110547,True,True,True,False
44,20601110548,False,2110548,False,True,True,False
45,20601110549,False,2110549,False,True,True,False
46,20601110550,False,2110550,False,False,True,False
47,20601110551,False,2110551,False,False,True,False
48,20601110552,False,2110552,False,False,True,False
49,20601110553,False,2110553,False,False,True,False
50,20601110554,False,2110554,False,False,True,False
51,20601110555,False,2110555,False,False,True,False
52,20601110556,False,2110556,False,False,True,False
53,20601110557,False,2110557,False,False,True,False
54,20601110558,False,2110558,False,True,True,False
55,20601110559,False,2110559,False,False,True,False
56,20601110601,False,2110601,False,False,True,False
57,20601110602,False,2110602,False,True,True,False
58,20601110603,False,2110603,True,True,True,False
59,20601110604,False,2110604,False,True,True,False
60,20601110605,False,2110605,False,False,True,False
61,20601110606,False,2110606,False,False,True,False
62,20601110607,False,2110607,True,True,True,False
63,20601110608,False,2110608,True,True,True,False
64,20601110609,False,2110609,False,False,True,False
65,20601110610,False,2110610,True,True,True,False
66,20601110611,False,2110611,False,True,True,False
67,20601110612,False,2110612,False,True,True,False
68,20601110613,False,2110613,False,True,True,False
69,20601110614,False,2110614,True,True,True,False
70,20601110615,False,2110615,False,True,True,False
71,20601110616,False,2110616,False,True,True,False
72,20601110617,False,2110617,True,True,True,False
73,20601110618,False,2110618,False,True,True,False
74,20601110619,False,2110619,False,True,True,False
75,20601110701,False,2110701,False,True,True,False
76,20601110702,False,2110702,False,True,True,False
77,20601110703,False,2110703,True,True,True,False
78,20601110704,False,2110704,False,True,True,False
79,20601110705,False,2110705,True,True,True,False
80,20601110706,False,2110706,False,True,True,False
81,20601110707,False,2110707,False,True,True,False
82,20601110708,False,2110708,False,True,True,False
83,20601110709,False,2110709,True,True,True,False
84,20601110710,False,2110710,True,True,True,False
85,20601110711,False,2110711,False,True,True,False
86,20601110712,False,2110712,False,True,True,False
87,20601110713,False,2110713,False,True,True,False
88,20601110714,False,2110714,False,False,True,False
89,20601110715,False,2110715,True,True,True,False
90,20601110716,False,2110716,True,True,True,False
91,20601110717,False,2110717,True,True,True,False
92,20601110718,False,2110718,True,True,True,False
93,20601110719,False,2110719,True,False,True,False
94,20601110720,False,2110720,True,True,True,False
95,20601110721,False,2110721,True,True,True,False
96,20601110722,False,2110722,False,False,True,False
97,20601110723,False,2110723,False,True,True,False
98,20601110724,False,2110724,False,True,True,False
99,20601110725,False,2110725,False,True,True,False
100,20601110726,False,2110726,True,True,True,False
101,20601110727,False,2110727,True,False,True,False
102,20601110728,False,2110728,True,True,True,False
103,20601110729,False,2110729,False,True,True,False
104,20601110730,False,2110730,True,False,True,False
105,20601110731,False,2110731,False,True,True,False
106,20601110801,True,2110801,False,True,True,False
107,20601110802,True,2110802,True,True,True,True
108,20601110803,True,2110803,True,True,True,True
109,20601110804,True,2110804,True,True,True,True
110,20601110805,True,2110805,True,True,True,True
111,20601110806,True,2110806,True,True,True,True
112,20601110807,True,2110807,False,True,True,False
113,20601110808,True,2110808,True,True,True,True
114,20601110809,True,2110809,True,True,True,True
115,20601110810,True,2110810,False,True,True,False
116,20601110811,True,2110811,False,True,True,False
117,20601110812,True,2110812,False,True,True,False
118,20601110813,True,2110813,False,True,True,False
119,20601110814,True,2110814,True,True,True,True
120,20601110815,True,2110815,True,True,True,True
121,20601110816,True,2110816,True,True,True,True
122,20601110817,True,2110817,False,True,True,False
123,20601110818,True,2110818,False,True,True,False
124,20601110819,True,2110819,True,True,True,True
125,20601110820,True,2110820,True,True,True,True
126,20601110821,True,2110821,False,True,True,False
127,20601110822,True,2110822,False,True,True,False
128,20601110823,True,2110823,True,True,True,True
129,20601110824,True,2110824,False,True,True,False
130,20601110825,True,2110825,False,True,True,False
131,20601110826,True,2110826,False,True,True,False
132,20601110827,True,2110827,True,True,True,True
133,20601110828,True,2110828,False,True,True,False
134,20601110829,True,2110829,False,True,True,False
135,20601110830,True,2110830,False,True,True,False
136,20601110831,True,2110831,False,True,True,False
137,20601110832,True,2110832,False,True,True,False
138,20601110833,True,2110833,True,True,True,True
139,20601110834,True,2110834,True,True,True,True
140,20601110835,True,2110835,False,True,True,False
141,20601110836,True,2110836,False,True,True,False
142,20601110837,True,2110837,False,True,True,False
143,20601110838,True,2110838,False,True,True,False
144,20601110839,True,2110839,True,True,True,True
145,20601110840,True,2110840,False,True,True,False
146,20601110841,True,2110841,True,False,True,False
147,20601110842,True,2110842,False,True,True,False
148,20601110843,True,2110843,True,False,True,False
149,20601110844,True,2110844,False,True,True,False
150,20601110845,True,2110845,False,True,True,False
151,20601110846,True,2110846,False,True,True,False
152,20601110847,True,2110847,False,True,True,False
153,20601110848,True,2110848,True,False,True,False
154,20601110849,True,2110849,False,True,True,False
155,20601110850,True,2110850,True,True,True,True
156,20601110851,True,2110851,False,False,True,False
157,20601110852,True,2110852,False,False,True,False
158,20601110853,True,2110853,False,True,True,False
159,20601110854,True,2110854,True,True,True,True
160,20601110855,True,2110855,True,True,True,True
161,20601110856,True,2110856,True,False,True,False
162,20601110857,True,2110857,False,True,True,False
163,20601110858,True,2110858,False,True,True,False
164,20601110859,True,2110859,False,True,True,False
165,20601110860,True,2110860,False,True,True,False
166,20601110901,True,2110901,True,True,True,True
167,20601110902,True,2110902,False,True,True,False
168,20601110903,True,2110903,False,True,True,False
169,20601110904,True,2110904,False,True,True,False
170,20601110905,True,2110905,False,True,True,False
171,20601110906,True,2110906,False,False,True,False
172,20601110907,True,2110907,False,True,True,False
173,20601110908,True,2110908,False,True,True,False
174,20601110909,True,2110909,False,True,True,False
175,20601110910,True,2110910,False,True,True,False
176,20601110911,True,2110911,False,True,True,False
177,20601110912,True,2110912,False,True,True,False
178,20601110913,True,2110913,False,False,True,False
179,20601110914,True,2110914,False,True,True,False
180,20601110915,True,2110915,False,True,True,False
181,20601110916,True,2110916,False,True,True,False
182,20601110917,True,2110917,False,True,True,False
183,20601110918,True,2110918,False,True,True,False
184,20601110919,True,2110919,True,True,True,True
185,20601110920,True,2110920,True,True,True,True
186,20601110921,True,2110921,True,True,True,True
187,20601110922,True,2110922,True,True,True,True
188,20601110923,True,2110923,False,True,True,False
189,20601110924,True,2110924,True,True,True,True
190,20602111001,True,2111001,False,True,True,False
191,20602111002,True,2111002,False,True,True,False
192,20602111003,True,2111003,False,True,True,False
193,20602111004,True,2111004,False,True,True,False
194,20602111005,True,2111005,False,True,True,False
195,20602111006,True,2111006,False,True,True,False
196,20602111007,True,2111007,False,True,True,False
197,20602111008,True,2111008,False,True,True,False
198,20602111009,True,2111009,True,False,True,False
199,20602111010,True,2111010,True,True,True,True
200,20602111011,True,2111011,False,True,True,False
201,20602111012,True,2111012,False,True,True,False
202,20602111013,True,2111013,False,True,True,False
203,20602111014,True,2111014,False,True,True,False
204,20602111015,True,2111015,False,True,True,False
205,20602111016,True,2111016,False,True,True,False
206,20602111017,True,2111017,False,True,True,False
207,20602111018,True,2111018,True,False,True,False
208,20602111019,True,2111019,True,True,True,True
209,20602111020,True,2111020,True,False,True,False
210,20602111021,True,2111021,True,False,True,False
211,20602111022,True,2111022,True,True,True,True
212,20602111101,False,2111101,False,False,True,False
213,20602111102,False,2111102,False,True,True,False
214,20602111103,False,2111103,False,True,True,False
215,20602111104,False,2111104,False,True,True,False
216,20602111105,False,2111105,False,True,True,False
217,20602111106,False,2111106,False,True,True,False
218,20602111107,False,2111107,False,True,True,False
219,20602111108,False,2111108,True,False,True,False
220,20602111109,False,2111109,False,False,True,False
221,20602111110,False,2111110,False,True,True,False
222,20602111111,False,2111111,False,True,True,False
223,20602111112,False,2111112,False,True,True,False
224,20602111113,False,2111113,True,False,True,False
225,20602111114,False,2111114,False,True,True,False
226,20602111115,False,2111115,False,True,True,False
227,20602111116,False,2111116,True,True,True,False
228,20602111117,False,2111117,False,True,True,False
229,20602111118,False,2111118,False,True,True,False
230,20602111119,False,2111119,False,True,True,False
231,20602111120,False,2111120,False,True,True,False
232,20602111121,False,2111121,False,True,True,False
233,20602111122,False,2111122,False,True,True,False
234,20602111123,False,2111123,True,True,True,False
235,20602111124,False,2111124,False,True,True,False
236,20602111125,False,2111125,False,False,True,False
237,20602111126,False,2111126,True,True,True,False
238,20602111127,False,2111127,False,True,True,False
239,20602111128,False,2111128,False,True,True,False
240,20602111129,False,2111129,False,True,True,False
241,20602111130,False,2111130,False,False,True,False
242,20602111131,False,2111131,True,True,True,False
243,20602111132,False,2111132,False,True,True,False
244,20602111133,False,2111133,False,True,True,False
245,20602111134,False,2111134,False,True,True,False
246,20602111135,False,2111135,False,True,True,False
247,20602111136,False,2111136,False,True,True,False
248,20602111137,False,2111137,False,True,True,False
249,20602111138,False,2111138,False,True,True,False
250,20602111139,False,2111139,False,True,True,False
251,20602111140,False,2111140,False,False,True,False
252,20602111141,False,2111141,False,False,True,False
253,20602111142,False,2111142,False,True,True,False
254,20602111143,False,2111143,True,False,True,False
255,20602111144,False,2111144,False,False,True,False
256,20602111145,False,2111145,False,False,True,False
257,20602111146,False,2111146,False,True,True,False
258,20602111147,False,2111147,False,False,True,False
259,20602111148,False,2111148,False,True,True,False
260,20602111149,False,2111149,True,True,True,False
261,20602111150,False,2111150,True,True,True,False
262,20602111151,False,2111151,False,True,True,False
263,20602111152,False,2111152,False,False,True,False
264,20602111153,False,2111153,True,False,True,False
265,20602111201,True,2111201,True,True,True,True
266,20602111202,True,2111202,True,True,True,True
267,20602111203,True,2111203,True,True,True,True
268,20602111204,True,2111204,True,True,True,True
269,20602111205,True,2111205,True,True,True,True
270,20602111206,True,2111206,True,True,True,True
271,20602111207,True,2111207,False,True,True,False
272,20602111208,True,2111208,False,True,True,False
273,20602111209,True,2111209,True,True,True,True
274,20602111210,True,2111210,True,True,True,True
275,20602111211,True,2111211,False,False,True,False
276,20602111212,True,2111212,True,True,True,True
277,20602111213,True,2111213,False,False,True,False
278,20602111214,True,2111214,True,True,True,True
279,20602111215,True,2111215,False,True,True,False
280,20602111216,True,2111216,True,False,True,False
281,20602111217,True,2111217,False,True,True,False
282,20602111218,True,2111218,True,True,True,True
283,20602111219,True,2111219,False,True,True,False
284,20602111220,True,2111220,False,True,True,False
285,20602111221,True,2111221,False,True,True,False
286,20602111222,True,2111222,False,True,True,False
287,20602111223,True,2111223,False,False,True,False
288,20602111224,True,2111224,True,True,True,True
289,20602111225,True,2111225,True,True,True,True
290,20602111226,True,2111226,False,True,True,False
291,20602111227,True,2111227,False,True,True,False
292,20602111228,True,2111228,False,True,True,False
293,20602111229,True,2111229,False,True,True,False
294,20602111230,True,2111230,False,False,True,False
295,20602111231,True,2111231,True,True,True,True
296,20602111232,True,2111232,False,True,True,False
297,20602111233,True,2111233,False,True,True,False
298,20602111234,True,2111234,True,False,True,False
299,20602111235,True,2111235,True,True,True,True
300,20602111236,True,2111236,False,True,True,False
301,20602111237,True,2111237,False,True,True,False
302,20602111238,True,2111238,False,False,True,False
303,20602111239,True,2111239,True,True,True,True
304,20602111240,True,2111240,False,False,True,False
305,20602111241,True,2111241,False,True,True,False
306,20602111242,True,2111242,True,True,True,True
307,20603111301,False,2111301,True,False,True,False
308,20603111302,False,2111302,False,True,True,False
309,20603111303,False,2111303,False,True,True,False
310,20603111304,False,2111304,False,True,True,False
311,20603111305,False,2111305,False,True,True,False
312,20603111306,False,2111306,False,True,True,False
313,20603111307,False,2111307,False,True,True,False
314,20603111308,False,2111308,False,True,True,False
315,20603111309,False,2111309,False,True,True,False
316,20603111310,False,2111310,False,True,True,False
317,20603111311,False,2111311,False,True,True,False
318,20603111312,False,2111312,False,True,True,False
319,20603111313,False,2111313,False,True,True,False
320,20603111314,False,2111314,False,True,True,False
321,20603111315,False,2111315,False,True,True,False
322,20603111316,False,2111316,True,False,True,False
323,20603111317,False,2111317,True,True,True,False
324,20603111318,False,2111318,True,True,True,False
325,20603111319,False,2111319,False,True,True,False
326,20603111320,False,2111320,True,False,True,False
327,20603111321,False,2111321,True,True,True,False
328,20603111322,False,2111322,False,True,True,False
329,20603111323,False,2111323,True,True,True,False
330,20603111324,False,2111324,False,True,True,False
331,20603111325,False,2111325,False,True,True,False
332,20603111326,False,2111326,False,True,True,False
333,20603111327,False,2111327,False,True,True,False
334,20603111328,False,2111328,False,True,True,False
335,20603111329,False,2111329,False,False,True,False
336,20603111330,False,2111330,False,False,True,False
337,20603111331,False,2111331,False,True,True,False
338,20603111332,False,2111332,True,True,True,False
339,20603111401,False,2111401,True,True,True,False
340,20603111402,False,2111402,True,True,True,False
341,20603111403,False,2111403,True,True,True,False
342,20603111404,False,2111404,True,True,True,False
343,20603111405,False,2111405,False,True,True,False
344,20603111406,False,2111406,False,True,True,False
345,20603111407,False,2111407,False,True,True,False
346,20603111408,False,2111408,False,True,True,False
347,20603111409,False,2111409,False,True,True,False
348,20603111410,False,2111410,False,True,True,False
349,20603111411,False,2111411,False,True,True,False
350,20603111412,False,2111412,False,True,True,False
351,20603111413,False,2111413,False,True,True,False
352,20603111414,False,2111414,False,True,True,False
353,20603111415,False,2111415,False,True,True,False
354,20603111416,False,2111416,False,True,True,False
355,20603111417,False,2111417,False,True,True,False
356,20603111418,False,2111418,False,True,True,False
357,20603111419,False,2111419,False,True,True,False
358,20603111420,False,2111420,False,True,True,False
359,20603111421,False,2111421,False,True,True,False
360,20603111422,False,2111422,False,True,True,False
361,20603111423,False,2111423,False,True,True,False
362,20603111424,False,2111424,False,True,True,False
363,20603111425,False,2111425,False,True,True,False
364,20603111426,False,2111426,False,True,True,False
365,20603111427,False,2111427,True,True,True,False
366,20603111428,False,2111428,True,True,True,False
367,20603111429,False,2111429,False,True,True,False
368,20603111430,False,2111430,False,True,True,False
369,20603111431,False,2111431,False,True,True,False
370,20603111432,False,2111432,False,True,True,False
371,20603111433,False,2111433,True,True,True,False
372,20603111434,False,2111434,False,False,True,False
373,20603111435,False,2111435,False,True,True,False
374,20603111436,False,2111436,False,True,True,False
375,20603111437,False,2111437,False,True,True,False
376,20603111438,False,2111438,False,False,True,False
377,20603111439,False,2111439,False,False,True,False
378,20603111440,False,2111440,False,True,True,False
379,20603111441,False,2111441,False,True,True,False
380,20603111442,False,2111442,False,True,True,False
381,20603111443,False,2111443,False,True,True,False
382,20603111444,False,2111444,False,True,True,False
383,20603111445,False,2111445,True,True,True,False
384,20603111446,False,2111446,False,True,True,False
385,20603111447,False,2111447,False,True,True,False
386,20603111448,False,2111448,False,True,True,False
387,20603111449,False,2111449,False,True,True,False
388,20603111450,False,2111450,False,True,True,False
389,20603111451,False,2111451,False,True,True,False
390,20603111452,False,2111452,False,True,True,False
391,20603111453,False,2111453,False,True,True,False
392,20603111454,False,2111454,False,False,True,False
393,20603111455,False,2111455,False,True,True,False
394,20603111456,False,2111456,True,True,True,False
395,20603111457,False,2111457,True,True,True,False
396,20603111458,False,2111458,False,True,True,False
397,20603111459,False,2111459,False,True,True,False
398,20603111460,False,2111460,False,True,True,False
399,20603111461,False,2111461,False,True,True,False
400,20603111501,False,2111501,False,False,True,False
401,20603111502,False,2111502,False,True,True,False
402,20603111503,False,2111503,False,False,True,False
403,20603111504,False,2111504,False,False,True,False
404,20603111505,False,2111505,False,False,True,False
405,20603111506,False,2111506,True,False,True,False
406,20603111507,False,2111507,True,True,True,False
407,20603111508,False,2111508,False,True,True,False
408,20603111509,False,2111509,False,False,True,False
409,20603111510,False,2111510,True,True,True,False
410,20603111511,False,2111511,False,False,True,False
411,20603111512,False,2111512,True,True,True,False
412,20603111513,False,2111513,False,True,True,False
413,20603111514,False,2111514,False,False,True,False
414,20603111515,False,2111515,True,False,True,False
415,20603111516,False,2111516,False,True,True,False
416,20603111518,False,2111518,True,False,True,False
417,20603111519,False,2111519,True,False,True,False
418,20603111520,False,2111520,True,False,True,False
419,20603111521,False,2111521,True,True,True,False
420,20603111522,False,2111522,True,False,True,False
421,20603111523,False,2111523,True,True,True,False
422,20603111524,False,2111524,True,False,True,False
423,20603111601,False,2111601,False,True,True,False
424,20603111602,False,2111602,True,True,True,False
425,20603111603,False,2111603,False,True,True,False
426,20603111604,False,2111604,False,False,True,False
427,20603111605,False,2111605,False,True,True,False
428,20603111606,False,2111606,False,True,True,False
429,20603111607,False,2111607,False,True,True,False
430,20603111608,False,2111608,False,True,True,False
431,20603111609,False,2111609,False,True,True,False
432,20603111610,False,2111610,False,False,True,False
433,20603111611,False,2111611,False,True,True,False
434,20603111612,False,2111612,False,True,True,False
435,20603111613,False,2111613,False,True,True,False
436,20603111614,False,2111614,True,True,True,False
437,20603111615,False,2111615,False,True,True,False
438,20603111616,False,2111616,False,True,True,False
439,20603111617,False,2111617,False,True,True,False
440,20603111618,False,2111618,False,True,True,False
441,20603111619,False,2111619,False,True,True,False
442,20603111620,False,2111620,False,True,True,False
443,20603111621,False,2111621,False,True,True,False
