CD_CODE06,SLA_CODE06,SLA_NAME06,LGA_CODE06,LGA_NAME06
2291001,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291002,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291003,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291004,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291005,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291006,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291007,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291008,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291009,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291010,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291011,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291012,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291013,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291014,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291015,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291016,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291017,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291018,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291019,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291020,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291021,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291022,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291023,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291024,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291025,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291026,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291027,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291028,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291029,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291030,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291031,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291032,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2291033,205054601,Melbourne (C) - Inner,24600,Melbourne (C)
2290916,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290924,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290925,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290926,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290927,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290928,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290930,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290931,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290932,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290933,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290934,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290935,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2290936,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291301,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291302,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291303,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291304,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291307,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291308,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291309,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291310,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291311,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291312,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291313,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291314,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291315,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291316,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291317,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291318,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291319,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
2291320,205054605,Melbourne (C) - S'bank-D'lands,24600,Melbourne (C)
