SA2_MAINCODE_2011,SA2_NAME_2011,SA2_5DIGITCODE_2011,SA3_CODE_2011,SA3_NAME_2011,SA4_CODE_2011,SA4_NAME_2011,GCCSA_CODE_2011,GCCSA_NAME_2011,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQM
206011105,Brunswick,21105,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,5142469.999
206011106,Brunswick East,21106,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2168041.951
206011107,Brunswick West,21107,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3179281.678
206011108,Coburg,21108,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6933716.816
206011109,Pascoe Vale South,21109,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2989804.922
206021110,Alphington - Fairfield,21110,20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2885117.964
206021111,Northcote,21111,20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6145080.912
206021112,Thornbury,21112,20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4997102.988
206031113,Ascot Vale,21113,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3835908.918
206031114,Essendon - Aberfeldie,21114,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8441810.864
206031115,Flemington,21115,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1580799.139
206031116,Moonee Ponds,21116,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4355399.746
206041117,Carlton,21117,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1818232.663
206041118,Docklands,21118,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3001915.909
206041119,East Melbourne,21119,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2899761.753
206041120,Flemington Racecourse,21120,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1709373.456
