,STOP_ID,STOP_NAME,ROUTES_US0,TICKETZONE,OBJECTID,LONGITUDE,LATITUDE,,,,,
0,19940,McKinnon Railway Station (Mckinnon),Frankston,"1,2",116,145.038299,-37.910309,,,,,
1,19916,Huntingdale Railway Station (Oakleigh),"Pakenham,Cranbourne","1,2",92,145.102364,-37.911017,,,,,
2,19951,Middle Brighton Railway Station (Brighton),Sandringham,"1,2",127,144.996299,-37.915134,,,,,
3,19939,Bentleigh Railway Station (Bentleigh),Frankston,"1,2",115,145.036995,-37.917425,,,,,
4,19915,Clayton Railway Station (Clayton),"Pakenham,Cranbourne",2,91,145.120534,-37.924683,,,,,
5,19938,Patterson Railway Station (Bentleigh),Frankston,2,114,145.03547,-37.925149,,,,,
6,19950,Brighton Beach Railway Station (Brighton),Sandringham,"1,2",126,144.989154,-37.926484,,,,,
7,19937,Moorabbin Railway Station (Moorabbin),Frankston,2,113,145.036738,-37.934353,,,,,
8,19949,Hampton Railway Station (Hampton),Sandringham,2,125,145.001471,-37.937977,,,,,
9,19914,Westall Railway Station (Clayton South),"Pakenham,Cranbourne",2,90,145.138833,-37.938491,,,,,
10,19872,Highett Railway Station (Highett),Frankston,2,48,145.041872,-37.948425,,,,,
11,19913,Springvale Railway Station (Springvale),"Pakenham,Cranbourne",2,89,145.153452,-37.949509,,,,,
12,19948,Sandringham Railway Station (Sandringham),Sandringham,2,124,145.004561,-37.95033,,,,,
13,19891,Sandown Park Railway Station (Springvale),"Pakenham,Cranbourne",2,67,145.162826,-37.956505,,,,,
15,19890,Noble Park Railway Station (Noble Park),"Pakenham,Cranbourne",2,66,145.176325,-37.966628,,,,,
16,19866,Cheltenham Railway Station (Cheltenham),Frankston,2,42,145.054558,-37.96665,,,,,
17,19889,Yarraman Railway Station (Noble Park),"Pakenham,Cranbourne",2,65,145.1916,-37.978255,,,,,
18,19865,Mentone Railway Station (Mentone),Frankston,2,41,145.065166,-37.981865,,,,,
19,19888,Dandenong Railway Station (Dandenong),"Pakenham,Cranbourne",2,64,145.209725,-37.989968,,,,,
20,19864,Parkdale Railway Station (Parkdale),Frankston,2,40,145.076327,-37.993079,,,,,
21,19863,Mordialloc Railway Station (Mordialloc),Frankston,2,39,145.087659,-38.006583,,,,,
22,19885,Hallam Railway Station (Hallam),Pakenham,2,61,145.269777,-38.01774,,,,,
23,19862,Aspendale Railway Station (Aspendale),Frankston,2,38,145.10215,-38.02722,,,,,
24,19884,Narre Warren Railway Station (Narre Warren),Pakenham,2,60,145.303969,-38.027809,,,,,
25,19861,Edithvale Railway Station (Edithvale),Frankston,2,37,145.108536,-38.038056,,,,,
26,19883,Berwick Railway Station (Berwick),Pakenham,2,59,145.345726,-38.040408,,,,,
27,19882,Beaconsfield Railway Station (Beaconsfield),Pakenham,2,58,145.366074,-38.050831,,,,,
28,19860,Chelsea Railway Station (Chelsea),Frankston,2,36,145.116041,-38.051955,,,,,
29,45793,Lynbrook Railway Station (Lynbrook),Cranbourne,2,213,145.249275,-38.057341,,,,,
30,19859,Bonbeach Railway Station (Bonbeach),Frankston,2,35,145.11968,-38.062945,,,,,
31,19881,Officer Railway Station (Officer),Pakenham,2,57,145.410987,-38.066146,,,,,
32,45794,Cardinia Road Railway Station (Pakenham),Pakenham,2,214,145.437791,-38.07129,,,,,
33,19858,Carrum Railway Station (Carrum),Frankston,2,34,145.122833,-38.076504,,,,,
34,19887,Merinda Park Railway Station (Cranbourne North),Cranbourne,2,63,145.263511,-38.079,,,,,
35,19880,Pakenham Railway Station (Pakenham),Pakenham,2,56,145.486379,-38.080614,,,,,
36,19886,Cranbourne Railway Station (Cranbourne),Cranbourne,2,62,145.280599,-38.099537,,,,,
37,19857,Seaford Railway Station (Seaford),Frankston,2,33,145.12823,-38.104021,,,,,
38,19856,Kananook Railway Station (Seaford),Frankston,2,32,145.135295,-38.121742,,,,,
39,19855,Frankston Railway Station (Frankston),"Stony Point,Frankston",2,31,145.126162,-38.14299,,,,,
40,19836,Leawarra Railway Station (Frankston),Stony Point,2,12,145.139534,-38.152034,,,,,
41,19834,Baxter Railway Station (Baxter),Stony Point,2,10,145.160526,-38.194043,,,,,
42,19833,Somerville Railway Station (Somerville),Stony Point,2,9,145.176245,-38.225342,,,,,
43,19832,Tyabb Railway Station (Tyabb),Stony Point,2,8,145.186401,-38.259815,,,,,
44,19831,Hastings Railway Station (Hastings),Stony Point,2,7,145.18598,-38.305659,,,,,
45,19830,Bittern Railway Station (Bittern),Stony Point,2,6,145.178027,-38.33739,,,,,
46,19829,Morradoo Railway Station (Crib Point),Stony Point,2,5,145.189602,-38.354033,,,,,
47,19828,Crib Point Railway Station (Crib Point),Stony Point,2,4,145.204043,-38.366123,,,,,
48,19827,Stony Point Railway Station (Crib Point),Stony Point,2,3,145.221837,-38.374235,,,,,
49,19892,East Camberwell Railway Station (Camberwell),"Lilydale,Belgrave",1,68,145.06819,-37.825894,,,,,
50,19907,East Richmond Railway Station (Richmond),"Belgrave,Glen Waverley,Lilydale,Alamein",1,83,144.997066,-37.8264,,,,,
51,19853,Camberwell Railway Station (Camberwell),"Belgrave,Lilydale,Alamein",1,29,145.058697,-37.826567,,,,,
52,19906,Burnley Railway Station (Burnley),"Belgrave,Glen Waverley,Lilydale,Alamein",1,82,145.007555,-37.82756,,,,,
53,19871,Heathmont Railway Station (Heathmont),Belgrave,2,47,145.244555,-37.828322,,,,,
54,19852,Riversdale Railway Station (Camberwell),Alamein,1,28,145.069646,-37.831505,,,,,
55,19909,Heyington Railway Station (Toorak),Glen Waverley,1,85,145.022635,-37.834672,,,,,
56,19851,Willison Railway Station (Camberwell),Alamein,1,27,145.070298,-37.835716,,,,,
57,19959,South Yarra Railway Station (South Yarra),"Frankston,Pakenham,Sandringham,Cranbourne",1,135,144.992342,-37.838449,,,,,
58,19910,Kooyong Railway Station (Kooyong),Glen Waverley,1,86,145.033552,-37.839929,,,,,
59,19870,Bayswater Railway Station (Bayswater),Belgrave,2,46,145.268136,-37.84173,,,,,
60,19850,Hartwell Railway Station (Camberwell),Alamein,1,26,145.07556,-37.843985,,,,,
61,19947,Hawksburn Railway Station (South Yarra),"Pakenham,Frankston",1,123,145.002142,-37.844591,,,,,
62,19911,Tooronga Railway Station (Malvern),Glen Waverley,1,87,145.041734,-37.849366,,,,,
63,19958,Prahran Railway Station (Prahran),Sandringham,1,134,144.98986,-37.849518,,,,,
64,19946,Toorak Railway Station (Armadale),"Pakenham,Frankston",1,122,145.013909,-37.850774,,,,,
65,19849,Burwood Railway Station (Glen Iris),Alamein,1,25,145.080511,-37.851563,,,,,
66,19912,Gardiner Railway Station (Glen Iris),Glen Waverley,1,88,145.051655,-37.853279,,,,,
67,19957,Windsor Railway Station (Windsor),Sandringham,1,133,144.992035,-37.856053,,,,,
68,19945,Armadale Railway Station (Armadale),"Pakenham,Frankston",1,121,145.019326,-37.856452,,,,,
69,19835,Glen Iris Railway Station (Glen Iris),Glen Waverley,1,11,145.058225,-37.859308,,,,,
70,19869,Boronia Railway Station (Boronia),Belgrave,2,45,145.284385,-37.860452,,,,,
71,19848,Ashburton Railway Station (Ashburton),Alamein,1,24,145.081344,-37.861968,,,,,
72,19944,Malvern Railway Station (Malvern),"Pakenham,Frankston",1,120,145.029294,-37.866253,,,,,
73,19847,Alamein Railway Station (Ashburton),Alamein,1,23,145.079656,-37.86832,,,,,
74,19837,Darling Railway Station (Malvern East),Glen Waverley,"1,2",13,145.062951,-37.868957,,,,,
75,19956,Balaclava Railway Station (Balaclava),Sandringham,1,132,144.993512,-37.869488,,,,,
76,19840,Jordanville Railway Station (Mount Waverley),Glen Waverley,2,16,145.11209,-37.873603,,,,,
77,19839,Holmesglen Railway Station (Malvern East),Glen Waverley,"1,2",15,145.090662,-37.874402,,,,,
78,19875,Mount Waverley Railway Station (Mount Waverley),Glen Waverley,2,51,145.128056,-37.875255,,,,,
79,19955,Ripponlea Railway Station (Ripponlea),Sandringham,1,131,144.995237,-37.875906,,,,,
80,19874,Syndal Railway Station (Glen Waverley),Glen Waverley,2,50,145.14978,-37.87623,,,,,
81,19838,East Malvern Railway Station (Malvern East),Glen Waverley,"1,2",14,145.069393,-37.87693,,,,,
82,19943,Caulfield Railway Station (Caulfield East),"Frankston,Pakenham,Cranbourne",1,119,145.042525,-37.877459,,,,,
83,19873,Glen Waverley Railway Station (Glen Waverley),Glen Waverley,2,49,145.162058,-37.879504,,,,,
84,19868,Ferntree Gully Railway Station (Ferntree Gully),Belgrave,2,44,145.295251,-37.881698,,,,,
85,19954,Elsternwick Railway Station (Elsternwick),Sandringham,1,130,145.000898,-37.884753,,,,,
86,19920,Carnegie Railway Station (Carnegie),"Pakenham,Cranbourne",1,96,145.058575,-37.886241,,,,,
87,19942,Glenhuntly Railway Station (Glen Huntly),Frankston,1,118,145.042223,-37.889719,,,,,
88,19919,Murrumbeena Railway Station (Murrumbeena),"Pakenham,Cranbourne",1,95,145.067375,-37.890198,,,,,
89,19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),Belgrave,2,43,145.30753,-37.892672,,,,,
90,19918,Hughesdale Railway Station (Hughesdale),"Pakenham,Cranbourne","1,2",94,145.077635,-37.894881,,,,,
91,19953,Gardenvale Railway Station (Brighton),Sandringham,1,129,145.004168,-37.896695,,,,,
92,19917,Oakleigh Railway Station (Oakleigh),"Pakenham,Cranbourne","1,2",93,145.088308,-37.900372,,,,,
93,19941,Ormond Railway Station (Ormond),Frankston,"1,2",117,145.039613,-37.903212,,,,,
94,19846,Upwey Railway Station (Upwey),Belgrave,2,22,145.331333,-37.903691,,,,,
95,19952,North Brighton Railway Station (Brighton),Sandringham,"1,2",128,145.002605,-37.904887,,,,,
96,19845,Tecoma Railway Station (Tecoma),Belgrave,2,21,145.342995,-37.908118,,,,,
97,19844,Belgrave Railway Station (Belgrave),Belgrave,2,20,145.355291,-37.909102,,,,,
98,19968,Brunswick Railway Station (Brunswick),Upfield,1,144,144.959587,-37.767721,,,,,
99,20016,Northcote Railway Station (Northcote),Mernda,1,187,144.995277,-37.769865,,,,,
100,19969,Jewell Railway Station (Brunswick),Upfield,1,145,144.958717,-37.774987,,,,,
101,20039,Ascot Vale Railway Station (Ascot Vale),Craigieburn,1,205,144.921821,-37.775306,,,,,
102,20004,Albion Railway Station (Sunshine North),Sunbury,"1,2",175,144.824704,-37.777653,,,,,
103,19970,Royal Park Railway Station (Parkville),Upfield,1,146,144.952301,-37.781193,,,,,
104,20040,Newmarket Railway Station (Flemington),Craigieburn,1,206,144.928978,-37.787328,,,,,
105,19971,Flemington Bridge Railway Station (North Melbourne),Upfield,1,147,144.939323,-37.78814,,,,,
106,20021,Sunshine Railway Station (Sunshine),Sunbury,"1,2",190,144.832878,-37.788536,,,,,
107,20041,Kensington Railway Station (Kensington),Craigieburn,1,207,144.930524,-37.79378,,,,,
108,19972,Macaulay Railway Station (North Melbourne),Upfield,1,148,144.936166,-37.794267,,,,,
109,20022,Tottenham Railway Station (West Footscray),Sunbury,1,191,144.862945,-37.799251,,,,,
110,20026,South Kensington Railway Station (Kensington),"Williamstown,Werribee",1,195,144.925469,-37.799531,,,,,
111,20025,Footscray Railway Station (Footscray),"Werribee,Williamstown,Sunbury",1,194,144.903199,-37.801083,,,,,
112,20023,West Footscray Railway Station (West Footscray),Sunbury,1,192,144.883985,-37.801803,,,,,
113,20024,Middle Footscray Railway Station (Footscray),Sunbury,1,193,144.891472,-37.802505,,,,,
114,19973,North Melbourne Railway Station (West Melbourne),"Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn",1,149,144.94257,-37.807419,,,,,
115,19997,Seddon Railway Station (Seddon),"Williamstown,Werribee",1,170,144.895672,-37.809005,,,,,
