,STOP_ID,STOP_NAME,ROUTEUSSP
0,18208,7-Flagstaff Railway Station/William St (Melbourne City),58
1,18210,5-Bourke St/William St (Melbourne City),58
2,18211,4-Collins St/William St (Melbourne City),58
3,18214,1-Flinders St/Queens Bridge St (Melbourne City),58
4,18215,115-Casino/Southbank/Queens Bridge St (Southbank),58
5,18217,117-York St/Kings Way (South Melbourne),58
6,18218,118-Sturt St/Kings Way (Southbank),58
7,18219,119-Wells St/Park St (South Melbourne),58
8,18221,119-Wells St/Park St (South Melbourne),58
9,18222,118-Sturt St/Kings Way (Southbank),58
10,18223,117-York St/Kings Way (South Melbourne),58
11,18224,20-Kings Way/Sturt St (Southbank),1
12,18225,19-Miles St/Sturt St (Southbank),1
13,18226,18-Grant St/Sturt St (Southbank),1
14,18227,17-Southbank Bvd/Sturt St (Southbank),1
15,18229,17-Southbank Bvd/Sturt St (Southbank),1
16,18230,18-Grant St/Sturt St (Southbank),1
17,18231,19-Miles St/Sturt St (Southbank),1
18,18232,20-Kings Way/Sturt St (Southbank),1
19,18233,116-City Rd/Kings Way (Southbank),58
20,18341,24-Grattan St/Church St (Hawthorn),48
21,18342,25-Brook St/Church St (Hawthorn),48
22,18343,26-Barkers Rd/Church St (Hawthorn),48
23,18347,34-Pakington St/High St (Kew),48
24,18348,35-Cobden St/High St (Kew),48
25,18349,36-Parkhill Rd/High St (Kew),48
26,18350,37-Kew Cemetery/High St (Kew),48
27,18351,38-Victoria Park/High St (Kew),48
28,18352,39-Harp Rd/High St (Kew),48
29,18353,40-Harp Village/High St (Kew East),48
30,18354,41-Clyde St/High St (Kew East),48
31,18355,42-Irymple Ave/High St (Kew East),48
32,18356,43-Kew High School/High St (Kew East),48
33,18357,44-Burke Rd/High St (Kew),48
34,18358,45-Burke Rd/Doncaster Rd (Balwyn North),48
35,18359,46-Wattle Ave/Doncaster Rd (Balwyn North),48
36,18360,47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North),48
37,18361,48-Sunburst Ave/Doncaster Rd (Balwyn North),48
38,18362,49-Cityview Rd/Doncaster Rd (Balwyn North),48
39,18363,50-Hill Rd/Doncaster Rd (Balwyn North),48
40,18364,36-St Kilda Primary School/Brighton Rd (Elwood),67
41,18365,38-Wimbledon Ave/Brighton Rd (Elwood),67
42,18367,39-Glen Eira Rd/Brighton Rd (Elwood),67
43,18368,40-Scott St/Brighton Rd (Elwood),67
44,18369,41-Coleridge St/Brighton Rd (Elwood),67
